#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
FH21.fasta	contig00001	506320	506674	+	ISEc13:DQ388534	1214-1550/1550	......../..====	6/20	21.68	81.18	ISfinder_Feb_2020		ISEc13:DQ388534	
FH21.fasta	contig00002	138186	138308	-	MITEEc1:U00096	1-123/123	===============	0/0	100.00	99.19	ISfinder_Feb_2020		MITEEc1:U00096	
FH21.fasta	contig00002	180951	181170	+	ISKpn42:CP025642	942-1161/1161	............===	0/0	18.95	85.45	ISfinder_Feb_2020		ISKpn42:CP025642	
FH21.fasta	contig00003	1	181	-	IS1397:X92970	1-181/1432	==.............	0/0	12.64	100.00	ISfinder_Feb_2020		IS1397:X92970	
FH21.fasta	contig00003	353844	353958	+	MITEEc1:U00096	5-119/123	===============	0/0	93.50	80.87	ISfinder_Feb_2020		MITEEc1:U00096	
FH21.fasta	contig00004	103460	103542	+	MITEEc1:U00096	2-84/123	===========....	0/0	67.48	93.98	ISfinder_Feb_2020		MITEEc1:U00096	
FH21.fasta	contig00004	111019	112764	-	IS609:BA000007	1-1748/1748	========/======	2/2	99.89	97.71	ISfinder_Feb_2020		IS609:BA000007	
FH21.fasta	contig00004	280961	281083	-	MITEEc1:U00096	1-123/123	===============	0/0	100.00	95.12	ISfinder_Feb_2020		MITEEc1:U00096	
FH21.fasta	contig00004	293289	293365	-	IS1414:AF143819	1238-1314/1314	..............=	0/0	5.86	93.51	ISfinder_Feb_2020		IS1414:AF143819	
FH21.fasta	contig00004	293366	293450	-	ISEc5:L02372	1207-1291/1291	..............=	0/0	6.58	97.65	ISfinder_Feb_2020		ISEc5:L02372	
FH21.fasta	contig00005	1	151	+	ISEc46:CU928163	1613-1763/1763	.............==	0/0	8.56	99.34	ISfinder_Feb_2020		ISEc46:CU928163	
FH21.fasta	contig00006	1	79	-	IS3411:M19532	1-79/1310	=..............	0/0	6.03	100.00	ISfinder_Feb_2020		IS3411:M19532	
FH21.fasta	contig00006	22091	22212	+	MITEEc1:U00096	1-123/123	========/======	1/1	99.19	85.37	ISfinder_Feb_2020		MITEEc1:U00096	
FH21.fasta	contig00006	182240	182314	+	ISEc46:CU928163	1-75/1763	=..............	0/0	4.25	100.00	ISfinder_Feb_2020		ISEc46:CU928163	
FH21.fasta	contig00007	1	76	-	ISKpn26:NC_016845	1-76/1196	=..............	0/0	6.35	100.00	ISfinder_Feb_2020		ISKpn26:NC_016845	
FH21.fasta	contig00007	175013	175091	-	IS1397:X92970	1354-1432/1432	..............=	0/0	5.52	100.00	ISfinder_Feb_2020		IS1397:X92970	
FH21.fasta	contig00008	21456	22784	-	IS10L:J01829	1-1329/1329	===============	0/0	100.00	99.32	ISfinder_Feb_2020		IS10L:J01829	
FH21.fasta	contig00008	77972	79356	-	ISEc81:NC_010498	1-1385/1385	===============	0/0	100.00	99.50	ISfinder_Feb_2020		ISEc81:NC_010498	
