
code	|	taxid	|	primary taxid	|	taxname
1	|	487	|	487	|	Neisseria meningitidis
1	|	488	|	488	|	Neisseria mucosa
1	|	489	|	489	|	Neisseria polysaccharea
1	|	490	|	490	|	Neisseria sicca
1	|	495	|	495	|	Neisseria elongata
1	|	498	|	498	|	Psychrobacter immobilis
1	|	502	|	502	|	Kingella denitrificans
1	|	504	|	504	|	Kingella kingae
1	|	511	|	511	|	Alcaligenes faecalis
1	|	518	|	518	|	Bordetella bronchiseptica
1	|	519	|	519	|	Bordetella parapertussis
1	|	520	|	520	|	Bordetella pertussis
1	|	521	|	521	|	Bordetella avium
1	|	529	|	529	|	Brucella anthropi
1	|	536	|	536	|	Chromobacterium violaceum
1	|	539	|	539	|	Eikenella corrodens
1	|	542	|	542	|	Zymomonas mobilis
1	|	545	|	545	|	Citrobacter koseri
1	|	546	|	546	|	Citrobacter freundii
1	|	548	|	548	|	Klebsiella aerogenes
1	|	549	|	549	|	Pantoea agglomerans
1	|	550	|	550	|	Enterobacter cloacae
1	|	552	|	552	|	Erwinia amylovora
1	|	553	|	553	|	Pantoea ananatis
1	|	554	|	554	|	Pectobacterium carotovorum
1	|	556	|	556	|	Dickeya chrysanthemi
1	|	562	|	562	|	Escherichia coli
1	|	563	|	563	|	Shimwellia blattae
1	|	564	|	564	|	Escherichia fergusonii
1	|	565	|	565	|	Atlantibacter hermannii
1	|	569	|	569	|	Hafnia alvei
1	|	571	|	571	|	Klebsiella oxytoca
1	|	573	|	573	|	Klebsiella pneumoniae
1	|	575	|	575	|	Raoultella planticola
1	|	577	|	577	|	Raoultella terrigena
1	|	580	|	580	|	Kluyvera cryocrescens
1	|	582	|	582	|	Morganella morganii
1	|	584	|	584	|	Proteus mirabilis
1	|	585	|	585	|	Proteus vulgaris
1	|	587	|	587	|	Providencia rettgeri
1	|	588	|	588	|	Providencia stuartii
1	|	614	|	614	|	Serratia liquefaciens
1	|	615	|	615	|	Serratia marcescens
1	|	618	|	618	|	Serratia odorifera
1	|	621	|	621	|	Shigella boydii
1	|	622	|	622	|	Shigella dysenteriae
1	|	623	|	623	|	Shigella flexneri
1	|	624	|	624	|	Shigella sonnei
1	|	628	|	628	|	Xenorhabdus nematophila
1	|	630	|	630	|	Yersinia enterocolitica
1	|	631	|	631	|	Yersinia intermedia
1	|	632	|	632	|	Yersinia pestis
1	|	633	|	633	|	Yersinia pseudotuberculosis
1	|	634	|	634	|	Yersinia bercovieri
1	|	636	|	636	|	Edwardsiella tarda
1	|	644	|	644	|	Aeromonas hydrophila
1	|	645	|	645	|	Aeromonas salmonicida
1	|	646	|	646	|	Aeromonas sobria
1	|	648	|	648	|	Aeromonas caviae
1	|	650	|	650	|	Aeromonas jandaei
1	|	651	|	651	|	Aeromonas media
1	|	652	|	652	|	Aeromonas schubertii
1	|	654	|	654	|	Aeromonas veronii
1	|	656	|	656	|	Aeromonas allosaccharophila
1	|	659	|	659	|	Photobacterium phosphoreum
1	|	661	|	661	|	Photobacterium angustum
1	|	663	|	663	|	Vibrio alginolyticus
1	|	666	|	666	|	Vibrio cholerae
1	|	668	|	668	|	Aliivibrio fischeri
1	|	669	|	669	|	Vibrio harveyi
1	|	670	|	670	|	Vibrio parahaemolyticus
1	|	672	|	672	|	Vibrio vulnificus
1	|	673	|	673	|	Grimontia hollisae
1	|	674	|	674	|	Vibrio mimicus
1	|	675	|	675	|	Vibrio cincinnatiensis
1	|	676	|	676	|	Vibrio fluvialis
1	|	680	|	680	|	Vibrio campbellii
1	|	685	|	685	|	Vibrio diazotrophicus
1	|	687	|	687	|	Vibrio gazogenes
1	|	689	|	689	|	Vibrio mediterranei
1	|	691	|	691	|	Vibrio natriegens
1	|	703	|	703	|	Plesiomonas shigelloides
1	|	714	|	714	|	Aggregatibacter actinomycetemcomitans
1	|	715	|	715	|	Actinobacillus pleuropneumoniae
1	|	716	|	716	|	Actinobacillus suis
1	|	726	|	726	|	Haemophilus haemolyticus
1	|	727	|	727	|	Haemophilus influenzae
1	|	728	|	728	|	Avibacterium paragallinarum
1	|	729	|	729	|	Haemophilus parainfluenzae
1	|	730	|	730	|	[Haemophilus] ducreyi
1	|	731	|	731	|	Histophilus somni
1	|	732	|	732	|	Aggregatibacter aphrophilus
1	|	733	|	733	|	Haemophilus haemoglobinophilus
1	|	735	|	735	|	Haemophilus parahaemolyticus
1	|	736	|	736	|	Haemophilus paraphrohaemolyticus
1	|	738	|	738	|	Glaesserella parasuis
1	|	739	|	739	|	Aggregatibacter segnis
1	|	747	|	747	|	Pasteurella multocida
1	|	750	|	750	|	Gallibacterium anatis
1	|	758	|	758	|	Rodentibacter pneumotropicus
1	|	770	|	770	|	Anaplasma marginale
1	|	774	|	774	|	Bartonella bacilliformis
1	|	777	|	777	|	Coxiella burnetii
1	|	779	|	779	|	Ehrlichia ruminantium
1	|	781	|	781	|	Rickettsia conorii
1	|	782	|	782	|	Rickettsia prowazekii
1	|	783	|	783	|	Rickettsia rickettsii
1	|	784	|	784	|	Orientia tsutsugamushi
1	|	785	|	785	|	Rickettsia typhi
1	|	803	|	803	|	Bartonella quintana
1	|	807	|	807	|	Bartonella elizabethae
1	|	813	|	813	|	Chlamydia trachomatis
1	|	817	|	817	|	Bacteroides fragilis
1	|	818	|	818	|	Bacteroides thetaiotaomicron
1	|	820	|	820	|	Bacteroides uniformis
1	|	821	|	821	|	Phocaeicola vulgatus
1	|	823	|	823	|	Parabacteroides distasonis
1	|	827	|	827	|	Campylobacter ureolyticus
1	|	831	|	831	|	Butyrivibrio fibrisolvens
1	|	833	|	833	|	Fibrobacter succinogenes
1	|	837	|	837	|	Porphyromonas gingivalis
1	|	839	|	839	|	Prevotella ruminicola
1	|	847	|	847	|	Oxalobacter formigenes
1	|	849	|	849	|	Fusobacterium gonidiaformans
1	|	850	|	850	|	Fusobacterium mortiferum
1	|	851	|	851	|	Fusobacterium nucleatum
1	|	853	|	853	|	Faecalibacterium prausnitzii
1	|	856	|	856	|	Fusobacterium varium
1	|	859	|	859	|	Fusobacterium necrophorum
1	|	860	|	860	|	Fusobacterium periodonticum
1	|	861	|	861	|	Fusobacterium ulcerans
1	|	865	|	865	|	Pectinatus frisingensis
1	|	870	|	870	|	Dichelobacter nodosus
1	|	876	|	876	|	Desulfovibrio desulfuricans
1	|	881	|	881	|	Desulfovibrio vulgaris
1	|	891	|	891	|	Desulfuromonas acetoxidans
1	|	897	|	897	|	Desulfococcus multivorans
1	|	901	|	901	|	Desulfovibrio piger
1	|	905	|	905	|	Acidaminococcus fermentans
1	|	907	|	907	|	Megasphaera elsdenii
1	|	915	|	915	|	Nitrosomonas europaea
1	|	916	|	916	|	Nitrosomonas eutropha
1	|	920	|	920	|	Acidithiobacillus ferrooxidans
1	|	930	|	930	|	Acidithiobacillus thiooxidans
1	|	945	|	945	|	Ehrlichia chaffeensis
1	|	948	|	948	|	Anaplasma phagocytophilum
1	|	955	|	955	|	Wolbachia pipientis
1	|	959	|	959	|	Bdellovibrio bacteriovorus
1	|	964	|	964	|	Herbaspirillum seropedicae
1	|	971	|	971	|	Selenomonas ruminantium
1	|	979	|	979	|	Cellulophaga lytica
1	|	986	|	986	|	Flavobacterium johnsoniae
1	|	989	|	989	|	Marinilabilia salmonicolor
1	|	996	|	996	|	Flavobacterium columnare
1	|	1010	|	1010	|	Sphingobacterium mizutaii
1	|	1015	|	1015	|	Bergeyella zoohelcum
1	|	1018	|	1018	|	Capnocytophaga ochracea
1	|	1019	|	1019	|	Capnocytophaga sputigena
1	|	1035	|	1035	|	Afipia felis
1	|	1053	|	1053	|	Halorhodospira halophila
1	|	1061	|	1061	|	Rhodobacter capsulatus
1	|	1063	|	1063	|	Cereibacter sphaeroides
1	|	1066	|	1066	|	Rhodocyclus tenuis
1	|	1074	|	1074	|	Rhodoblastus acidophilus
1	|	1076	|	1076	|	Rhodopseudomonas palustris
1	|	1080	|	1080	|	Afifella marina
1	|	1085	|	1085	|	Rhodospirillum rubrum
1	|	1086	|	1086	|	Rhodothalassium salexigens
1	|	1094	|	1094	|	Chlorobium phaeovibrioides
1	|	1126	|	1126	|	Microcystis aeruginosa
1	|	1160	|	1160	|	Planktothrix agardhii
1	|	1165	|	1165	|	Anabaena cylindrica
1	|	1176	|	1176	|	Aphanizomenon flos-aquae
1	|	1184	|	1184	|	Leptolyngbya boryana
1	|	1219	|	1219	|	Prochlorococcus marinus
1	|	1229	|	1229	|	Nitrosococcus oceani
1	|	1231	|	1231	|	Nitrosospira multiformis
1	|	1238	|	1238	|	Piscirickettsia salmonis
1	|	1244	|	1244	|	Leuconostoc gelidum
1	|	1245	|	1245	|	Leuconostoc mesenteroides
1	|	1246	|	1246	|	Leuconostoc lactis
1	|	1247	|	1247	|	Oenococcus oeni
1	|	1249	|	1249	|	Weissella paramesenteroides
1	|	1252	|	1252	|	Leuconostoc carnosum
1	|	1254	|	1254	|	Pediococcus acidilactici
1	|	1255	|	1255	|	Pediococcus pentosaceus
1	|	1260	|	1260	|	Finegoldia magna
1	|	1261	|	1261	|	Peptostreptococcus anaerobius
1	|	1264	|	1264	|	Ruminococcus albus
1	|	1265	|	1265	|	Ruminococcus flavefaciens
1	|	1267	|	1267	|	Clostridium ventriculi
1	|	1270	|	1270	|	Micrococcus luteus
1	|	1273	|	1273	|	Micrococcus lylae
1	|	1274	|	1274	|	Dermacoccus nishinomiyaensis
1	|	1275	|	1275	|	Kocuria rosea
1	|	1276	|	1276	|	Kytococcus sedentarius
1	|	1280	|	1280	|	Staphylococcus aureus
1	|	1281	|	1281	|	Staphylococcus carnosus
1	|	1282	|	1282	|	Staphylococcus epidermidis
1	|	1283	|	1283	|	Staphylococcus haemolyticus
1	|	1284	|	1284	|	Staphylococcus hyicus
1	|	1285	|	1285	|	Staphylococcus intermedius
1	|	1286	|	1286	|	Staphylococcus simulans
1	|	1288	|	1288	|	Staphylococcus xylosus
1	|	1290	|	1290	|	Staphylococcus hominis
1	|	1292	|	1292	|	Staphylococcus warneri
1	|	1293	|	1293	|	Staphylococcus gallinarum
1	|	1294	|	1294	|	Staphylococcus muscae
1	|	1295	|	1295	|	Staphylococcus schleiferi
1	|	1296	|	1296	|	Mammaliicoccus sciuri
1	|	1299	|	1299	|	Deinococcus radiodurans
1	|	1302	|	1302	|	Streptococcus gordonii
1	|	1303	|	1303	|	Streptococcus oralis
1	|	1304	|	1304	|	Streptococcus salivarius
1	|	1305	|	1305	|	Streptococcus sanguinis
1	|	1307	|	1307	|	Streptococcus suis
1	|	1308	|	1308	|	Streptococcus thermophilus
1	|	1309	|	1309	|	Streptococcus mutans
1	|	1310	|	1310	|	Streptococcus sobrinus
1	|	1311	|	1311	|	Streptococcus agalactiae
1	|	1313	|	1313	|	Streptococcus pneumoniae
1	|	1314	|	1314	|	Streptococcus pyogenes
1	|	1318	|	1318	|	Streptococcus parasanguinis
1	|	1322	|	1322	|	Blautia hansenii
1	|	1323	|	1323	|	Faecalicoccus pleomorphus
1	|	1326	|	1326	|	Streptococcus acidominimus
1	|	1328	|	1328	|	Streptococcus anginosus
1	|	1329	|	1329	|	Streptococcus canis
1	|	1334	|	1334	|	Streptococcus dysgalactiae
1	|	1335	|	1335	|	Streptococcus equinus
1	|	1336	|	1336	|	Streptococcus equi
1	|	1338	|	1338	|	Streptococcus intermedius
1	|	1340	|	1340	|	Streptococcus porcinus
1	|	1343	|	1343	|	Streptococcus vestibularis
1	|	1346	|	1346	|	Streptococcus iniae
1	|	1348	|	1348	|	Streptococcus parauberis
1	|	1349	|	1349	|	Streptococcus uberis
1	|	1351	|	1351	|	Enterococcus faecalis
1	|	1352	|	1352	|	Enterococcus faecium
1	|	1353	|	1353	|	Enterococcus gallinarum
1	|	1354	|	1354	|	Enterococcus hirae
1	|	1355	|	1355	|	Enterococcus columbae
1	|	1358	|	1358	|	Lactococcus lactis
1	|	1359	|	1359	|	Lactococcus cremoris
1	|	1363	|	1363	|	Lactococcus garvieae
1	|	1364	|	1364	|	Lactococcus piscium
1	|	1366	|	1366	|	Lactococcus raffinolactis
1	|	1376	|	1376	|	Aerococcus urinae
1	|	1377	|	1377	|	Aerococcus viridans
1	|	1379	|	1379	|	Gemella haemolysans
1	|	1390	|	1390	|	Bacillus amyloliquefaciens
1	|	1392	|	1392	|	Bacillus anthracis
1	|	1393	|	1393	|	Brevibacillus brevis
1	|	1396	|	1396	|	Bacillus cereus
1	|	1397	|	1397	|	Bacillus circulans
1	|	1398	|	1398	|	Weizmannia coagulans
1	|	1399	|	1399	|	Cytobacillus firmus
1	|	1401	|	1401	|	Paenibacillus lautus
1	|	1402	|	1402	|	Bacillus licheniformis
1	|	1404	|	1404	|	Priestia megaterium
1	|	1405	|	1405	|	Bacillus mycoides
1	|	1406	|	1406	|	Paenibacillus polymyxa
1	|	1408	|	1408	|	Bacillus pumilus
1	|	1421	|	1421	|	Lysinibacillus sphaericus
1	|	1422	|	1422	|	Geobacillus stearothermophilus
1	|	1423	|	1423	|	Bacillus subtilis
1	|	1426	|	1426	|	Parageobacillus thermoglucosidasius
1	|	1428	|	1428	|	Bacillus thuringiensis
1	|	1451	|	1451	|	Paenibacillus amylolyticus
1	|	1452	|	1452	|	Bacillus atrophaeus
1	|	1455	|	1455	|	Bacillus badius
1	|	1462	|	1462	|	Geobacillus kaustophilus
1	|	1464	|	1464	|	Paenibacillus larvae
1	|	1465	|	1465	|	Brevibacillus laterosporus
1	|	1471	|	1471	|	Bacillus methanolicus
1	|	1472	|	1472	|	Paenibacillus pabuli
1	|	1473	|	1473	|	Virgibacillus pantothenticus
1	|	1478	|	1478	|	Peribacillus simplex
1	|	1479	|	1479	|	Bacillus smithii
1	|	1482	|	1482	|	Virgibacillus halodenitrificans
1	|	1488	|	1488	|	Clostridium acetobutylicum
1	|	1490	|	1490	|	Paraclostridium bifermentans
1	|	1491	|	1491	|	Clostridium botulinum
1	|	1492	|	1492	|	Clostridium butyricum
1	|	1494	|	1494	|	Clostridium cochlearium
1	|	1496	|	1496	|	Clostridioides difficile
1	|	1501	|	1501	|	Clostridium pasteurianum
1	|	1502	|	1502	|	Clostridium perfringens
1	|	1504	|	1504	|	Clostridium septicum
1	|	1505	|	1505	|	Paeniclostridium sordellii
1	|	1509	|	1509	|	Clostridium sporogenes
1	|	1510	|	1510	|	Thermoclostridium stercorarium
1	|	1512	|	1512	|	[Clostridium] symbiosum
1	|	1513	|	1513	|	Clostridium tetani
1	|	1515	|	1515	|	Acetivibrio thermocellus
1	|	1517	|	1517	|	Thermoanaerobacterium thermosaccharolyticum
1	|	1519	|	1519	|	Clostridium tyrobutyricum
1	|	1520	|	1520	|	Clostridium beijerinckii
1	|	1522	|	1522	|	[Clostridium] innocuum
1	|	1525	|	1525	|	Moorella thermoacetica
1	|	1529	|	1529	|	Clostridium cadaveris
1	|	1531	|	1531	|	Enterocloster clostridioformis
1	|	1532	|	1532	|	Blautia coccoides
1	|	1542	|	1542	|	Clostridium novyi
1	|	1547	|	1547	|	Erysipelatoclostridium ramosum
1	|	1553	|	1553	|	Clostridium tetanomorphum
1	|	1559	|	1559	|	Clostridium tertium
1	|	1561	|	1561	|	Clostridium baratii
1	|	1571	|	1571	|	Sporosarcina ureae
1	|	1575	|	1575	|	Leifsonia xyli
1	|	1579	|	1579	|	Lactobacillus acidophilus
1	|	1580	|	1580	|	Levilactobacillus brevis
1	|	1581	|	1581	|	Lentilactobacillus buchneri
1	|	1582	|	1582	|	Lacticaseibacillus casei
1	|	1583	|	1583	|	Weissella confusa
1	|	1584	|	1584	|	Lactobacillus delbrueckii
1	|	1587	|	1587	|	Lactobacillus helveticus
1	|	1588	|	1588	|	Lentilactobacillus hilgardii
1	|	1589	|	1589	|	Lactiplantibacillus pentosus
1	|	1590	|	1590	|	Lactiplantibacillus plantarum
1	|	1596	|	1596	|	Lactobacillus gasseri
1	|	1597	|	1597	|	Lacticaseibacillus paracasei
1	|	1598	|	1598	|	Limosilactobacillus reuteri
1	|	1599	|	1599	|	Latilactobacillus sakei
1	|	1600	|	1600	|	Lactobacillus acetotolerans
1	|	1601	|	1601	|	Ligilactobacillus agilis
1	|	1604	|	1604	|	Lactobacillus amylovorus
1	|	1605	|	1605	|	Ligilactobacillus animalis
1	|	1606	|	1606	|	Ligilactobacillus aviarius
1	|	1610	|	1610	|	Loigolactobacillus coryniformis
1	|	1612	|	1612	|	Companilactobacillus farciminis
1	|	1613	|	1613	|	Limosilactobacillus fermentum
1	|	1614	|	1614	|	Fructilactobacillus fructivorans
1	|	1618	|	1618	|	Liquorilactobacillus mali
1	|	1622	|	1622	|	Ligilactobacillus murinus
1	|	1623	|	1623	|	Ligilactobacillus ruminis
1	|	1624	|	1624	|	Ligilactobacillus salivarius
1	|	1625	|	1625	|	Fructilactobacillus sanfranciscensis
1	|	1629	|	1629	|	Weissella viridescens
1	|	1630	|	1630	|	Kandleria vitulina
1	|	1631	|	1631	|	Fructobacillus fructosus
1	|	1632	|	1632	|	Limosilactobacillus oris
1	|	1633	|	1633	|	Limosilactobacillus vaginalis
1	|	1638	|	1638	|	Listeria ivanovii
1	|	1639	|	1639	|	Listeria monocytogenes
1	|	1640	|	1640	|	Listeria seeligeri
1	|	1641	|	1641	|	Listeria grayi
1	|	1642	|	1642	|	Listeria innocua
1	|	1643	|	1643	|	Listeria welshimeri
1	|	1648	|	1648	|	Erysipelothrix rhusiopathiae
1	|	1650	|	1650	|	Kurthia zopfii
1	|	1655	|	1655	|	Actinomyces naeslundii
1	|	1657	|	1657	|	Actinobaculum suis
1	|	1660	|	1660	|	Schaalia odontolytica
1	|	1661	|	1661	|	Trueperella pyogenes
1	|	1680	|	1680	|	Bifidobacterium adolescentis
1	|	1681	|	1681	|	Bifidobacterium bifidum
1	|	1683	|	1683	|	Bifidobacterium angulatum
1	|	1684	|	1684	|	Bifidobacterium asteroides
1	|	1685	|	1685	|	Bifidobacterium breve
1	|	1686	|	1686	|	Bifidobacterium catenulatum
1	|	1689	|	1689	|	Bifidobacterium dentium
1	|	1694	|	1694	|	Bifidobacterium pseudolongum
1	|	1697	|	1697	|	Corynebacterium ammoniagenes
1	|	1703	|	1703	|	Brevibacterium linens
1	|	1705	|	1705	|	Corynebacterium stationis
1	|	1708	|	1708	|	Cellulomonas fimi
1	|	1710	|	1710	|	Cellulosimicrobium cellulans
1	|	1717	|	1717	|	Corynebacterium diphtheriae
1	|	1718	|	1718	|	Corynebacterium glutamicum
1	|	1719	|	1719	|	Corynebacterium pseudotuberculosis
1	|	1724	|	1724	|	Corynebacterium renale
1	|	1725	|	1725	|	Corynebacterium xerosis
1	|	1735	|	1735	|	Holdemanella biformis
1	|	1736	|	1736	|	Eubacterium limosum
1	|	1744	|	1744	|	Propionibacterium freudenreichii
1	|	1747	|	1747	|	Cutibacterium acnes
1	|	1748	|	1748	|	Acidipropionibacterium acidipropionici
1	|	1749	|	1749	|	Acidipropionibacterium jensenii
1	|	1750	|	1750	|	Arachnia propionica
1	|	1764	|	1764	|	Mycobacterium avium
1	|	1766	|	1766	|	Mycolicibacterium fortuitum
1	|	1767	|	1767	|	Mycobacterium intracellulare
1	|	1768	|	1768	|	Mycobacterium kansasii
1	|	1769	|	1769	|	Mycobacterium leprae
1	|	1771	|	1771	|	Mycolicibacterium phlei
1	|	1772	|	1772	|	Mycolicibacterium smegmatis
1	|	1773	|	1773	|	Mycobacterium tuberculosis
1	|	1774	|	1774	|	Mycobacteroides chelonae
1	|	1778	|	1778	|	Mycobacterium gordonae
1	|	1780	|	1780	|	Mycobacterium malmoense
1	|	1781	|	1781	|	Mycobacterium marinum
1	|	1784	|	1784	|	Mycobacterium simiae
1	|	1788	|	1788	|	Mycolicibacter terrae
1	|	1789	|	1789	|	Mycobacterium xenopi
1	|	1790	|	1790	|	Mycobacterium asiaticum
1	|	1795	|	1795	|	Mycolicibacterium neoaurum
1	|	1800	|	1800	|	Mycolicibacterium chubuense
1	|	1807	|	1807	|	Mycolicibacterium obuense
1	|	1809	|	1809	|	Mycobacterium ulcerans
1	|	1823	|	1823	|	Nocardia otitidiscaviarum
1	|	1824	|	1824	|	Nocardia asteroides
1	|	1828	|	1828	|	Rhodococcus fascians
1	|	1829	|	1829	|	Rhodococcus rhodochrous
1	|	1830	|	1830	|	Rhodococcus ruber
1	|	1833	|	1833	|	Rhodococcus erythropolis
1	|	1836	|	1836	|	Saccharopolyspora erythraea
1	|	1863	|	1863	|	Dermatophilus congolensis
1	|	1867	|	1867	|	Actinoplanes teichomyceticus
1	|	1874	|	1874	|	Micromonospora chalcea
1	|	1877	|	1877	|	Micromonospora echinospora
1	|	1886	|	1886	|	Streptomyces albidoflavus
1	|	1888	|	1888	|	Streptomyces albus
1	|	1890	|	1890	|	Streptomyces antibioticus
1	|	1892	|	1892	|	Streptomyces anulatus
1	|	1893	|	1893	|	Streptomyces atratus
1	|	1894	|	1894	|	Kitasatospora aureofaciens
1	|	1898	|	1898	|	Streptomyces cacaoi
1	|	1901	|	1901	|	Streptomyces clavuligerus
1	|	1902	|	1902	|	Streptomyces coelicolor
1	|	1905	|	1905	|	Streptomyces exfoliatus
1	|	1906	|	1906	|	Streptomyces fradiae
1	|	1908	|	1908	|	Streptomyces globisporus
1	|	1911	|	1911	|	Streptomyces griseus
1	|	1912	|	1912	|	Streptomyces hygroscopicus
1	|	1914	|	1914	|	Streptomyces lavendulae
1	|	1916	|	1916	|	Streptomyces lividans
1	|	1927	|	1927	|	Streptomyces rimosus
1	|	1930	|	1930	|	Streptomyces scabiei
1	|	1932	|	1932	|	Streptomyces tendae
1	|	1938	|	1938	|	Streptomyces viridochromogenes
1	|	1956	|	1956	|	Streptomyces diastaticus
1	|	1969	|	1969	|	Streptomyces chartreusis
1	|	2014	|	2014	|	Nocardiopsis dassonvillei
1	|	2021	|	2021	|	Thermobifida fusca
1	|	2026	|	2026	|	Thermoactinomyces vulgaris
1	|	2033	|	2033	|	Microbacterium testaceum
1	|	2035	|	2035	|	Curtobacterium flaccumfaciens
1	|	2039	|	2039	|	Tropheryma whipplei
1	|	2045	|	2045	|	Pimelobacter simplex
1	|	2047	|	2047	|	Rothia dentocariosa
1	|	2051	|	2051	|	Mobiluncus curtisii
1	|	2052	|	2052	|	Mobiluncus mulieris
1	|	2055	|	2055	|	Gordonia terrae
1	|	2061	|	2061	|	Tsukamurella paurometabola
1	|	2074	|	2074	|	Pseudonocardia autotrophica
1	|	2094	|	2094	|	Mycoplasma arginini
1	|	2095	|	2095	|	Mycoplasma capricolum
1	|	2096	|	2096	|	Mycoplasma gallisepticum
1	|	2097	|	2097	|	Mycoplasma genitalium
