#species_taxid	min_ungapped_length	max_ungapped_length	expected_ungapped_length	number_of_genomes
4903	9893000	16557000	13225377	4
4909	5540000	16146000	10842591	14
4911	8350000	13325000	10837608	17
4922	7486000	11230000	9358152	33
4927	9922000	29767000	19844617	5
4929	8502000	12755000	10628627	8
4931	9032000	15402000	12217162	5
4932	7603000	15651000	11627053	971
4950	7242000	10865000	9053347	15
4952	16170000	24256000	20212580	23
4956	9620000	28862000	19241081	4
4959	6058000	18175000	12116211	11
5007	6574000	19724000	13148849	11
5011	10630000	15946000	13287634	4
5025	21987000	65964000	43975758	88
5037	17153000	51461000	34306788	10
5039	52220000	82134000	67176644	4
5059	29582000	44374000	36977536	108
5061	28463000	42696000	35579745	22
5062	30179000	45269000	37723786	97
5067	27375000	50627000	39000708	10
5068	28119000	42180000	35149239	4
5075	29269000	43905000	36587430	6
5076	25763000	38646000	32204491	21
5082	21629000	32445000	27036988	5
5098	19001000	28502000	23751453	4
5111	24477000	36716000	30596272	26
5116	35003000	52505000	43753803	93
5127	35095000	52643000	43869019	20
5141	33010000	49516000	41262611	4
5158	22859000	34981000	28920137	4
5207	14815000	22224000	18519860	64
5270	15637000	23457000	19547153	33
5272	14453000	43361000	28906851	15
5286	10183000	30551000	20366904	16
5315	29129000	58073000	43600707	4
5322	27503000	41256000	34379250	4
5323	23378000	70136000	46757147	4
5334	19783000	55967000	37874830	8
5341	24594000	36892000	30743263	6
5353	25579000	54129000	39853932	8
5467	32685000	80010000	56347553	4
5476	10856000	17881000	14368231	66
5477	15234000	22853000	19043405	12
5478	10060000	15091000	12575042	18
5480	10434000	15653000	13043583	13
5482	11620000	17431000	14525295	5
5501	21460000	33443000	27451393	5
5507	34690000	69974000	52332142	534
5516	30251000	45378000	37814809	4
5518	29010000	43517000	36263675	109
5530	27068000	49735000	38401235	6
5537	16029000	24044000	20036278	39
5544	32615000	48924000	40769814	6
5551	18470000	27706000	23087565	12
5580	22553000	33831000	28192303	67
5599	27032000	40549000	33790217	15
5601	28862000	43294000	36078247	8
5660	25910000	38866000	32387892	4
5661	18823000	43682000	31252241	11
5666	25058000	37589000	31323415	5
5671	25855000	38784000	32319275	4
5691	13265000	39796000	26530440	4
5693	24000000	90000000	57000000	32
5741	8546000	14389000	11467485	19
5755	28875000	86627000	57751186	4
5759	8731000	26196000	17463908	8
5763	22207000	33312000	27759193	4
5807	6975000	11141000	9057994	19
5811	50397000	75596000	62996412	24
5821	14698000	22048000	18373293	6
5825	15150000	22727000	18938342	5
5833	11539000	34619000	23078788	56
5850	19478000	29218000	24348038	5
5855	18570000	39189000	28879444	16
5860	15313000	22971000	19142069	10
5861	17912000	26869000	22390270	12
5868	5150000	7726000	6438007	7
5875	6598000	9898000	8248203	5
5970	21119000	31679000	26398950	7
6035	1830000	2746000	2288106	5
6192	938366000	1407551000	1172958462	4
6239	73772000	132750000	103260833	25
6253	222997000	334496000	278746414	4
6293	63766000	104760000	84263234	4
6304	134492000	403477000	268984579	4
6306	75435000	226308000	150871850	4
6326	53858000	93822000	73840383	6
6334	22430000	67292000	44861163	6
6337	24114000	72344000	48229247	6
6526	637022000	1025868000	831445216	4
6853	1191813000	2634599000	1913205665	4
6941	1119048000	3357147000	2238097559	4
7038	459693000	790958000	625325389	9
7091	288499000	536563000	412531018	4
7108	195192000	585579000	390385634	7
7111	277573000	416360000	346966341	4
7159	637042000	1911127000	1274084631	4
7160	888108000	2664327000	1776217663	5
7165	120119000	360360000	240239474	4
7217	126905000	304122000	215513796	4
7227	89264000	186063000	137663075	26
7237	81629000	244889000	163258851	5
7240	56327000	168984000	112655351	12
7241	101205000	151808000	126506499	4
7244	145459000	219146000	182302647	5
7291	78105000	234317000	156210896	4
7460	181216000	271825000	226520549	6
7461	168167000	252252000	210209239	4
7719	61475000	184428000	122951600	5
7906	1214922000	2087530000	1651225683	4
7937	808715000	1213073000	1010893997	4
7950	575050000	862576000	718813331	4
7955	1012123000	1661469000	1336796155	11
7957	869453000	2608362000	1738907448	4
7962	846230000	1952622000	1399425709	6
8010	743416000	1115125000	929270532	4
8022	846460000	2539381000	1692920281	4
8049	343016000	873043000	608029870	5
8090	564285000	899697000	731991239	20
8153	488013000	884379000	686196086	4
8156	564436000	846655000	705545520	4
8187	486953000	786509000	636730919	4
8839	932014000	1407747000	1169880749	9
8962	948665000	1422999000	1185831672	4
9305	2345411000	3518118000	2931764606	4
9325	1902000	2854000	2378237	4
9407	1519023000	2278535000	1898778910	4
9483	1395539000	4186618000	2791078203	9
9541	2037227000	3134103000	2585664943	9
9544	1435590000	4306772000	2871181313	7
9606	1412960000	4238883000	2825921536	539
9612	1172454000	3517365000	2344909802	17
9668	1916991000	3001804000	2459397266	23
9739	1897826000	2846740000	2372283309	5
9823	1946667000	2920002000	2433334271	20
9925	1823876000	3624883000	2724379430	5
9940	1319256000	3957769000	2638512114	8
10029	1854492000	2781740000	2318115958	5
10090	1653376000	2984854000	2319115079	22
10243	178000	268000	222732	40
10244	157000	237000	197216	100
10245	132000	246000	189274	25
10255	148000	223000	185578	5
10258	110000	166000	137986	5
10261	228000	343000	285470	4
10266	120000	181000	150057	17
10273	129000	195000	162455	54
10279	151000	228000	189312	22
10298	118000	179000	148670	18
10310	56000	169000	112559	21
10376	97000	175000	136187	109
10407	2443	3987	3215	63
10454	108000	163000	135556	9
10493	84000	127000	105022	47
10497	150000	227000	188643	85
10537	24000	37000	30536	8
10561	5823	8734	7279	8
10570	6391	9586	7989	12
10665	135000	203000	168905	8
10678	49000	148000	98230	4
10754	33000	51000	41724	9
10821	2150	3225	2688	12
10826	2171	3256	2714	9
10832	2216	3324	2770	6
10834	2198	3297	2748	6
10840	2344	3517	2931	9
10847	4308	6463	5386	134
10879	10000	17000	13388	4
11002	4690	7035	5863	6
11034	9362	15000	11703	5
11036	9146	14000	11433	6
11072	8780	13000	10976	1
11079	8811	13000	11014	1
11082	8769	13000	10962	3
11103	7548	12000	9435	177
11234	12000	19000	15894	1
11250	12000	19000	15194	71
11269	15000	22000	19111	2
11292	9540	15000	11926	49
11320	10000	16000	13133	130
11552	10000	15000	12906	1
11676	7164	11000	8955	495
11709	8176	13000	10221	39
11723	7408	12000	9261	107
11983	6037	9056	7547	24
12110	6548	9823	8186	8
12211	7828	12000	9786	11
12216	7760	12000	9700	6
12287	3598	5397	4498	4
12305	4261	13000	8522	249
12475	1344	2016	1680	16
12558	3318	4977	4148	1
12585	5118	7677	6398	126
12637	8560	13000	10701	6
12639	2419	3628	3024	5
13123	514472000	1133081000	823776453	4
13368	8326000	12490000	10408146	4
13370	8971000	13458000	11214504	4
13373	4524000	6787000	5655539	83
13563	21598000	33694000	27645932	4
13684	28243000	46596000	37419743	24
13686	299068000	469842000	384455008	7
13689	3214000	5441000	4327402	9
13690	3798000	7404000	5601008	16
15368	125307000	311384000	218345867	4
22663	206754000	360474000	283613915	4
27288	8940000	13411000	11175037	6
27291	9567000	14352000	11959616	13
27292	11134000	33404000	22269028	31
27293	9800000	14701000	12250173	4
27334	25768000	38653000	32210547	8
27337	27462000	41195000	34328534	34
27350	36836000	110511000	73673608	16
28025	1547000	2321000	1933912	90
28026	1757000	2637000	2196710	264
28031	3771000	5658000	4714446	27
28034	2058000	4593000	3325386	7
28035	2057000	3087000	2571731	38
28037	1602000	2404000	2002797	136
28038	1545000	2319000	1931924	26
28051	2176000	3266000	2721098	4
28068	4083000	6125000	5104164	7
28077	5549000	8571000	7060322	8
28080	1336000	2005000	1670772	468
28082	3506000	5260000	4382847	6
28084	2972000	4459000	3715643	4
28087	3286000	4931000	4108369	8
28090	2712000	4071000	3391348	26
28091	1732000	2599000	2165490	8
28094	5246000	7871000	6558677	5
28095	6665000	9998000	8331451	244
28097	3422000	6962000	5191832	5
28099	3022000	8134000	5577926	10
28101	4344000	6517000	5430804	6
28108	3817000	5726000	4771491	24
28109	3419000	5130000	4274777	5
28110	1621000	2432000	2026262	50
28111	3205000	5402000	4303245	25
28112	2640000	3961000	3300179	13
28113	2900000	4352000	3626105	4
28114	1885000	2829000	2357014	20
28115	1859000	2790000	2324569	7
28116	4795000	8648000	6721696	273
28117	1579000	3521000	2549878	5
28118	3677000	5517000	4597050	32
28125	1990000	2987000	2488416	8
28126	2538000	3808000	3172595	4
28127	2313000	3676000	2994087	4
28129	2435000	3653000	3044139	10
28130	2241000	3363000	2802052	7
28131	2220000	3331000	2775833	33
28132	2570000	3857000	3213441	15
28133	2326000	3490000	2907657	8
28134	2279000	3419000	2849142	5
28135	2534000	3802000	3168212	5
28137	2331000	3498000	2914585	4
28141	3603000	5405000	4503911	631
28151	4277000	6416000	5346359	14
28152	3627000	5441000	4534065	36
28171	3354000	5032000	4192589	12
28172	2780000	4720000	3749567	12
28173	5076000	7615000	6345190	18
28182	3755000	5634000	4694952	17
28183	3212000	4819000	4015390	39
28184	3426000	5141000	4283634	20
28188	1964000	2947000	2455405	15
28189	2134000	3202000	2667569	7
28197	1809000	2715000	2261829	48
28198	1658000	2529000	2093732	30
28200	1548000	2323000	1935074	15
28251	1918000	2878000	2397867	7
28258	3341000	5012000	4176400	5
28264	1434000	2538000	1986154	5
28295	22000	34000	28029	44
28350	2207	3310	2759	5
28447	2640000	3961000	3300327	80
28448	2915000	4373000	3643860	10
28449	1809000	2715000	2262420	17
28450	5699000	8550000	7124343	1825
28452	3549000	5324000	4436408	5
28454	4744000	7291000	6017441	10
28873	161000	243000	202247	4
28875	9017	28000	18034	2514
28876	14000	22000	17934	7
28898	1477000	2217000	1846966	14
28901	3820000	5731000	4775358	336760
28903	735000	1125000	929679	427
29092	1546362000	2633710000	2090036034	4
29159	445315000	729016000	587165554	4
29176	49110000	73666000	61387881	4
29311	3493000	5240000	4366495	5
29320	3593000	5390000	4491478	7
29341	3791000	5688000	4739380	6
29347	2664000	4575000	3619500	10
29348	1948000	3067000	2507485	10
29354	2552000	7657000	5104430	4
29361	2386000	3888000	3137117	5
29363	2887000	4332000	3609608	23
29378	2087000	3131000	2608792	30
29379	1805000	2709000	2257278	10
29380	2109000	3165000	2636914	13
29382	2127000	3191000	2658934	80
29384	2111000	3167000	2639038	9
29385	2111000	3167000	2639140	146
29388	2003000	3006000	2504308	138
29394	1536000	2305000	1920210	32
29419	1346000	2504000	1924983	5
29423	1386000	4160000	2773209	5
29430	2801000	4203000	3501878	54
29432	2549000	3825000	3186773	4
29433	1847000	2772000	2309632	4
29438	4743000	7116000	5929313	114
29442	5398000	8099000	6748391	14
29447	2947000	4421000	3684091	17
29448	7490000	11387000	9438256	18
29449	3308000	9927000	6617803	19
29450	5342000	8014000	6678268	5
29459	2632000	3950000	3290983	351
29460	2635000	3954000	3294370	6
29461	2652000	3979000	3315544	70
29466	1199000	3073000	2136218	20
29471	3967000	5952000	4959719	13
29483	3479000	5220000	4349939	11
29484	3878000	5818000	4847790	49
29485	3497000	5247000	4372463	11
29486	3006000	4510000	3758102	69
29488	4331000	6498000	5414260	13
29489	3515000	5274000	4394426	7
29494	2677000	7241000	4958664	15
29495	3175000	5518000	4346363	31
29497	4336000	6506000	5421249	108
29498	3282000	7416000	5348944	5
29507	3524000	5287000	4405209	34
29508	3302000	4954000	4127621	11
29518	629000	1890000	1259498	9
29519	629000	1890000	1259493	79
29522	2130000	3196000	2662929	17
29546	1355000	2034000	1694200	7
29549	2709000	4065000	3386737	5
29555	671000	1068000	869060	8
29559	693000	1041000	866715	9
29561	515000	774000	644771	4
29562	816000	1225000	1020200	13
29570	3083000	4626000	3854910	8
29575	1334000	2002000	1668004	11
29581	4299000	8445000	6371954	14
29656	107674000	161512000	134592505	6
29710	289703000	869110000	579406249	5
29760	208125000	624377000	416250765	8
29833	7042000	10564000	8802515	10
29856	44133000	66201000	55167446	5
29875	28815000	55141000	41977980	4
29879	22957000	51597000	37276863	42
29881	31409000	47115000	39261962	14
29908	26017000	39026000	32521574	4
29910	24592000	36890000	30741189	8
29917	27158000	40738000	33947519	4
29920	30372000	91119000	60745609	20
30069	101373000	304122000	202747998	6
31234	81032000	165440000	123236113	4
31600	2050	6151	4101	4
31744	3559	5338	4449	2
31899	2347000	3522000	2934971	23
31958	7403000	11105000	9253881	4
31998	3686000	10112000	6899110	7
32002	5367000	8052000	6709988	14
32046	2190000	3287000	2738669	8
32201	318339000	955019000	636679261	5
32515	553791000	830687000	692239148	4
32597	31546000	94639000	63092351	5
33007	1845000	2769000	2306850	6
33010	2033000	3050000	2541539	21
33025	1954000	2933000	2443620	22
33028	1879000	2820000	2349838	14
33029	1518000	2278000	1898141	4
33031	1176000	2222000	1699205	5
33033	1343000	2015000	1679083	8
33035	3040000	9122000	6080846	13
33037	1594000	2392000	1992607	5
33038	2384000	4619000	3501207	81
33039	2285000	3633000	2959200	17
33043	2521000	3782000	3151527	14
33044	1438000	2158000	1797808	9
33045	1908000	2864000	2385853	5
33046	1009000	3028000	2018620	7
33047	1408000	2197000	1802699	9
33050	2549000	7648000	5098553	5
33051	3229000	4844000	4036292	6
33052	2850000	4710000	3780213	4
33059	2107000	3627000	2866714	18
33060	3690000	5536000	4612522	24
33069	4786000	7181000	5983438	1545
33178	23609000	35415000	29511967	10
33203	30399000	45600000	37999979	4
33418	132414000	397244000	264828702	5
33419	166861000	500585000	333723213	17
33424	100540000	301622000	201080857	18
33425	138770000	416312000	277540923	6
33441	142223000	426670000	284446170	10
33444	173696000	521090000	347393280	9
33455	123341000	370024000	246682442	4
33653	27908000	41863000	34885358	4
33881	2887000	4331000	3608920	4
33885	2288000	3681000	2984786	4
33887	2560000	3842000	3201137	27
33888	2554000	3832000	3192866	6
33889	3087000	4631000	3858945	14
33898	3893000	11680000	7786420	4
33900	6826000	10240000	8532691	4
33903	6200000	12694000	9446868	7
33905	1843000	2765000	2303888	6
33910	8197000	12297000	10246864	7
33934	1883000	3450000	2666655	31
33936	2230000	5449000	3839138	7
33940	2820000	4231000	3525432	8
33941	2835000	4254000	3544332	9
33945	3334000	5546000	4440156	35
33959	1519000	2363000	1941384	46
33962	2016000	3025000	2520384	8
33964	1498000	2248000	1873097	27
33968	1083000	2935000	2008773	35
33970	1654000	2482000	2067800	19
33989	1164000	1748000	1456213	5
33990	1235000	1853000	1543880	5
33995	3191000	4787000	3988883	7
33996	3165000	4749000	3957269	4
34007	4369000	6554000	5461251	4
34021	604000	1815000	1209640	36
34038	3841000	7053000	5446950	13
34059	1871000	2808000	2339380	5
34062	2128000	3256000	2691770	17
34073	3474000	10425000	6949740	18
34085	1726000	2602000	2164087	77
34103	3609000	5415000	4511908	4
34105	1211000	2104000	1657474	25
34356	9879000	14820000	12349743	4
34373	41003000	123011000	82006883	11
34740	119041000	357125000	238082927	51
35319	6101	19000	12203	4
35554	2434000	5056000	3745223	5
35629	6281000	12196000	9238627	10
35703	3987000	6043000	5015088	67
35717	25417000	43794000	34605565	6
35725	24301000	72906000	48603526	10
35755	1896000	2845000	2370698	4
35760	1658000	2488000	2073032	4
35790	1021000	1533000	1277062	35
35792	1044000	1567000	1305112	6
35806	3484000	5228000	4356242	16
35814	2957000	4436000	3696547	83
35817	1284000	1928000	1606090	9
35818	1383000	2245000	1813822	25
35841	3054000	4582000	3818277	6
35884	224347000	658204000	441275799	4
36022	9784000	14677000	12230069	5
36080	27636000	41456000	34545933	4
36330	28058000	42089000	35073456	6
36427	14000	22000	17889	40
36630	25234000	37852000	31543319	5
36651	20323000	30486000	25404943	6
36745	5333000	8000000	6666445	7
36746	4727000	7092000	5909466	22
36808	2047000	3136000	2591616	23
36809	3756000	6423000	5089268	1822
36822	4186000	6281000	5233701	6
36841	3186000	4780000	3982686	5
36855	2634000	3952000	3292531	29
36874	1908000	2863000	2385717	6
36911	9557000	14337000	11946762	30
37081	924598000	1386898000	1155748109	4
37326	7137000	10706000	8921451	9
37329	5033000	7551000	6292402	41
37330	6191000	9287000	7738888	11
37332	6263000	9395000	7828971	20
37360	18967000	28452000	23709518	49
37372	1817000	3106000	2461501	13
37636	1850000	2776000	2312905	41
37637	1856000	2786000	2320839	7
37659	2328000	3493000	2910660	4
37662	9027000	16543000	12784682	5
37727	22645000	33969000	28307147	9
37734	2672000	4483000	3577399	74
37915	1918000	4561000	3239674	4
37919	6172000	11498000	8834939	13
37921	2317000	4185000	3251101	6
37923	1884000	2827000	2355726	15
37928	3399000	6120000	4759549	5
37929	2912000	4370000	3641218	4
37931	3692000	5540000	4616002	6
38170	15000	32000	23420	37
38289	1928000	2894000	2411135	23
38290	1931000	2898000	2414771	26
38293	3332000	5620000	4476142	52
38301	2156000	3236000	2696013	9
38304	1954000	2932000	2442859	6
38307	2808000	4213000	3510326	17
38308	2623000	3935000	3279005	4
38313	3874000	5813000	4843605	81
38323	1494000	2242000	1867744	29
38448	34612000	51919000	43265585	4
38525	10000	17000	13508	5
39152	1414000	2122000	1768263	23
39291	27070000	81213000	54141870	4
39412	28364000	42548000	35456005	5
39482	2465000	7398000	4931584	8
39483	1325000	2456000	1890621	10
39485	2403000	3663000	3033369	20
39486	2484000	4080000	3282046	36
39488	2743000	4288000	3515670	15
39490	2695000	4044000	3369708	10
39496	2199000	3299000	2748896	12
39645	5487000	8231000	6859090	6
39664	1665000	2499000	2081705	4
39691	4840000	7807000	6323229	4
39693	5490000	8237000	6863476	6
39708	162958000	488876000	325916947	21
39777	1657000	2487000	2071952	11
39778	1664000	2497000	2080655	8
39791	2276000	3415000	2845468	7
39803	3120	4680	3900	22
39804	3393	5090	4242	10
39962	3011000	4518000	3764337	4
40050	15000	24000	19524	213
40051	15000	24000	19179	171
40145	113975000	182249000	148112240	4
40151	1818439000	2997352000	2407895765	4
40199	33365000	50049000	41707458	6
40214	2655000	4469000	3561768	38
40215	2491000	4253000	3372053	65
40216	2539000	3810000	3174402	29
40262	32442000	48665000	40553707	7
40318	6191000	9287000	7738905	4
40324	2391000	7175000	4783127	918
40366	127209000	200836000	164022736	4
40381	12946000	38839000	25892030	4
40518	1796000	2695000	2245758	20
40520	2795000	4527000	3661211	51
40545	2307000	3462000	2884409	27
40559	33233000	49850000	41541377	35
40576	3363000	5525000	4444137	11
40997	20908000	31363000	26135786	6
40998	20993000	31491000	26242187	11
41058	32025000	48039000	40031924	5
41170	2585000	3878000	3231413	4
41202	3995000	5993000	4994130	6
41276	2676000	4015000	3345527	5
41734	46757000	89020000	67888183	7
41899	6361000	9542000	7951502	5
41977	4002000	6004000	5003236	5
41997	1311000	3934000	2622550	5
42062	110072000	174219000	142145336	6
42197	6505000	9758000	8131572	5
42229	123400000	370201000	246800503	5
42234	8465000	12699000	10582418	9
42322	1772000	3982000	2877062	4
42345	319738000	959217000	639477520	4
42354	2664000	3997000	3330830	4
42858	2181000	3272000	2726400	17
43049	15915000	47748000	31831680	9
43080	2113000	3170000	2641405	22
43179	1622237000	2999877000	2311057001	4
43263	2411000	7236000	4823390	11
43304	5418000	8128000	6773194	8
43305	3206000	4886000	4045793	4
43595	2608000	4014000	3310975	7
43654	3470000	6210000	4839946	4
43657	4241000	7883000	6062137	25
43658	4572000	6859000	5715014	11
43659	3096000	4687000	3891510	4
43662	4300000	6451000	5375735	16
43675	1710000	2860000	2284980	24
43687	1753000	2630000	2191532	6
43765	1988000	2984000	2486087	18
43767	3245000	7667000	5455982	232
43768	2289000	3434000	2861264	6
43769	2028000	3043000	2535183	12
43770	2256000	3385000	2820548	275
43771	1895000	2844000	2369219	11
43992	4137000	12413000	8274914	17
44008	1783000	2892000	2337314	48
44009	2223000	3336000	2779856	4
44250	5195000	7794000	6494637	8
44252	5760000	8642000	7201062	7
44271	24906000	38898000	31902111	4
44560	2196	3294	2745	12
44574	2826000	5090000	3957803	4
44577	2482000	4030000	3255798	8
44752	4341000	13026000	8683833	4
44930	2967000	4452000	3709389	4
44935	3479000	5220000	4349521	6
45065	2117000	3176000	2646406	6
45067	2327000	3492000	2909762	4
45071	3348000	5024000	4185834	4
45073	2895000	4343000	3618999	5
45130	28993000	43490000	36241382	7
45133	34583000	51875000	43228929	6
45151	22494000	46242000	34367924	11
45157	8902000	23580000	16240949	4
45357	10614000	15923000	13268395	4
45462	4196000	6296000	5246051	7
45634	1599000	2541000	2070102	34
45658	3912000	5869000	4890182	4
45668	3166000	4750000	3957646	5
45670	2032000	3050000	2541136	5
45972	1953000	3135000	2543801	26
46126	1857000	2787000	2322159	125
