#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
FH12.fasta	contig00037	5092	5803	-	IncX4_2	1-712/712	===============	0/0	100.00	84.69	plasmidfinder	FN543504	IncX4_2__FN543504	
FH12.fasta	contig00057	2603	2733	-	ColRNAI_1	1-130/130	========/======	1/1	100.00	87.02	plasmidfinder	DQ298019	ColRNAI_1__DQ298019	
FH12.fasta	contig00059	4685	4802	-	ColRNAI_1	1-118/130	==============.	0/0	90.77	88.98	plasmidfinder	DQ298019	ColRNAI_1__DQ298019	
FH12.fasta	contig00061	1599	1729	+	ColRNAI_1	1-130/130	========/======	1/1	100.00	85.50	plasmidfinder	DQ298019	ColRNAI_1__DQ298019	
FH12.fasta	contig00062	769	920	+	Col156_1	1-152/154	===============	0/0	98.70	97.37	plasmidfinder	NC_009781	Col156_1__NC_009781	
FH12.fasta	contig00064	3120	3261	-	IncI1_1_Alpha	1-142/142	===============	0/0	100.00	100.00	plasmidfinder	AP005147	IncI1_1_Alpha_AP005147	
FH12.fasta	contig00076	402	514	+	Col440I_1	2-114/114	===============	0/0	99.12	92.92	plasmidfinder	CP023920.1	Col440I_1__CP023920.1	
FH12.fasta	contig00080	67	326	-	Col(MG828)_1	1-262/262	========/======	5/6	98.47	84.09	plasmidfinder	NC_008486	Col(MG828)_1__NC_008486	
FH12.fasta	contig00089	129	330	-	Col(MG828)_1	60-262/262	...=====/======	1/1	77.10	87.69	plasmidfinder	NC_008486	Col(MG828)_1__NC_008486	
FH12.fasta	contig00099	3	217	+	Col(MG828)_1	48-262/262	..=============	0/0	82.06	94.88	plasmidfinder	NC_008486	Col(MG828)_1__NC_008486	
FH12.fasta	contig00190	1	102	-	Col(MG828)_1	1-102/262	======.........	0/0	38.93	93.14	plasmidfinder	NC_008486	Col(MG828)_1__NC_008486	
