genome	n_genes_called	n_genes_mapped	n_contigs	taxonomic_level	proportion_genes_retained_in_major_clades	genes_retained_index	clade_separation_score	contamination_portion	n_effective_surplus_clades	mean_hit_identity	reference_representation_score	pass.GUNC
AVC191	5178	5078	262	genus	0.9	0.88	0.1	0.22	0.54	0.98	0.87	True
FH138	5241	5142	179	species	0.91	0.9	0.81	0.03	0.06	0.99	0.88	False
FH171	4867	4771	191	genus	0.89	0.87	0.04	0.19	0.44	0.99	0.86	True
FH88	5049	4970	129	genus	0.91	0.89	0.05	0.13	0.29	0.99	0.88	True
FH212	5153	5071	202	genus	0.89	0.87	0.03	0.25	0.6	0.99	0.86	True
FH97	5173	5086	171	genus	0.9	0.88	0.06	0.13	0.29	0.99	0.87	True
FH19	4858	4798	170	genus	0.93	0.92	0.07	0.21	0.51	0.99	0.9	True
AVC219	5385	5277	287	genus	0.9	0.89	0.1	0.28	0.71	0.98	0.87	True
AVC237	4406	4374	81	genus	0.94	0.93	0.02	0.22	0.53	0.99	0.92	True
AVC7	4845	4775	124	genus	0.9	0.89	0.02	0.31	0.74	0.99	0.88	True
FH22	4759	4709	101	genus	0.92	0.91	0.01	0.2	0.46	0.99	0.89	True
FH144	4843	4777	126	genus	0.92	0.91	0.03	0.12	0.26	0.99	0.9	True
AVC64	4905	4862	158	genus	0.92	0.91	0.02	0.25	0.61	0.99	0.9	True
FH25	4828	4777	118	genus	0.93	0.92	0.06	0.21	0.51	0.99	0.91	True
FH92	5037	4961	100	genus	0.91	0.89	0.06	0.13	0.28	0.99	0.88	True
FH37	5185	5099	178	genus	0.9	0.88	0.07	0.13	0.29	0.99	0.87	True
FH69	5085	4985	204	genus	0.87	0.85	0.03	0.18	0.42	0.99	0.84	True
AVC38	4980	4925	152	genus	0.9	0.89	0.07	0.13	0.29	0.99	0.88	True
FH52	5394	5270	198	genus	0.87	0.85	0.06	0.25	0.61	0.99	0.84	True
AVC201	4779	4721	230	species	0.92	0.91	0.7	0.03	0.05	0.99	0.9	False
FH104	5204	5124	162	genus	0.9	0.89	0.08	0.13	0.29	0.99	0.87	True
FH180	4861	4791	120	genus	0.9	0.88	0.03	0.18	0.42	0.99	0.87	True
