name	scientific_name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
AVC191	Escherichia coli	562	S	1011465	1017269	2028734	0.9089
AVC191	Escherichia marmotae	1499973	S	107802	-4955	102847	0.04608
AVC191	Escherichia albertii	208962	S	1632	-1243	389	0.00017
AVC191	Escherichia fergusonii	564	S	1332	-175	1157	0.00052
AVC191	Escherichia sp. E4742	2044467	S	608	-443	165	7e-05
AVC191	Klebsiella pneumoniae	573	S	31682	968	32650	0.01463
AVC191	Klebsiella aerogenes	548	S	176	-154	22	1e-05
AVC191	Klebsiella sp. P1CD1	2267618	S	43	22	65	3e-05
AVC191	Klebsiella sp. PO552	1972757	S	28	-9	19	1e-05
AVC191	Klebsiella michiganensis	1134687	S	69	-50	19	1e-05
AVC191	Klebsiella oxytoca	571	S	54	-46	8	0.0
AVC191	Klebsiella variicola	244366	S	52	-29	23	1e-05
AVC191	Klebsiella quasipneumoniae	1463165	S	35	60	95	4e-05
AVC191	Klebsiella huaxiensis	2153354	S	22	-20	2	0.0
AVC191	Klebsiella grimontii	2058152	S	4	-1	3	0.0
AVC191	Salmonella enterica	28901	S	26894	22769	49663	0.02225
AVC191	Salmonella bongori	54736	S	52	109	161	7e-05
AVC191	Salmonella sp. SSDFZ54	2500542	S	32	255	287	0.00013
AVC191	Salmonella sp. S13	2686305	S	7	165	172	8e-05
AVC191	Citrobacter freundii	546	S	713	-434	279	0.00012
AVC191	Citrobacter portucalensis	1639133	S	26	-3	23	1e-05
AVC191	Citrobacter werkmanii	67827	S	22	-17	5	0.0
AVC191	Citrobacter braakii	57706	S	7	-3	4	0.0
AVC191	Citrobacter freundii complex sp. CFNIH2	2066049	S	6	-6	0	0.0
AVC191	Citrobacter freundii complex sp. CFNIH9	2077149	S	5	0	5	0.0
AVC191	Citrobacter sp. RHB25-C09	2742624	S	55	-53	2	0.0
AVC191	Citrobacter sp. LY-1	2546350	S	31	-28	3	0.0
AVC191	Citrobacter sp. SNU WT2	2562449	S	25	-24	1	0.0
AVC191	Citrobacter sp. BDA59-3	2781952	S	9	-6	3	0.0
AVC191	Citrobacter sp. CRE-46	1703250	S	5	-2	3	0.0
AVC191	Citrobacter sp. FDAARGOS_156	1702170	S	4	-3	1	0.0
AVC191	Citrobacter sp. RHB35-C17	2742625	S	4	-2	2	0.0
AVC191	Citrobacter rodentium	67825	S	60	-56	4	0.0
AVC191	Citrobacter amalonaticus	35703	S	32	-25	7	0.0
AVC191	Citrobacter koseri	545	S	23	-18	5	0.0
AVC191	Citrobacter farmeri	67824	S	17	-16	1	0.0
AVC191	Citrobacter telavivum	2653932	S	16	-15	1	0.0
AVC191	Citrobacter pasteurii	1563222	S	4	-3	1	0.0
AVC191	Shigella boydii	621	S	503	2460	2963	0.00133
AVC191	Shigella flexneri	623	S	468	3831	4299	0.00193
AVC191	Shigella dysenteriae	622	S	389	541	930	0.00042
AVC191	Shigella sonnei	624	S	56	5554	5610	0.00251
AVC191	Enterobacter cloacae	550	S	126	-21	105	5e-05
AVC191	Enterobacter roggenkampii	1812935	S	70	-41	29	1e-05
AVC191	Enterobacter cloacae complex sp.	2027919	S	59	-36	23	1e-05
AVC191	Enterobacter hormaechei	158836	S	60	-32	28	1e-05
AVC191	Enterobacter kobei	208224	S	40	-13	27	1e-05
AVC191	Enterobacter asburiae	61645	S	26	-18	8	0.0
AVC191	Enterobacter cancerogenus	69218	S	25	-24	1	0.0
AVC191	Enterobacter sichuanensis	2071710	S	12	-9	3	0.0
AVC191	Enterobacter ludwigii	299767	S	11	-9	2	0.0
AVC191	Enterobacter sp. SA187	1914861	S	48	-45	3	0.0
AVC191	Enterobacter sp. JUb54	2724468	S	37	-34	3	0.0
AVC191	Enterobacter sp. E76	2596949	S	27	-25	2	0.0
AVC191	Enterobacter sp. RHBSTW-00994	2742676	S	22	-21	1	0.0
AVC191	Enterobacter sp. 638	399742	S	16	-15	1	0.0
AVC191	Enterobacter sp. RHBSTW-00175	2742639	S	7	-7	0	0.0
AVC191	Enterobacter sp. RHB15-C17	2742619	S	6	-5	1	0.0
AVC191	Enterobacter bugandensis	881260	S	29	-26	3	0.0
AVC191	Enterobacter oligotrophicus	2478464	S	22	-20	2	0.0
AVC191	Enterobacter soli	885040	S	20	-19	1	0.0
AVC191	Enterobacter mori	539813	S	7	-4	3	0.0
AVC191	Kosakonia radicincitans	283686	S	67	-55	12	1e-05
AVC191	Kosakonia arachidis	551989	S	48	-44	4	0.0
AVC191	Kosakonia sp. SMBL-WEM22	2725560	S	19	-18	1	0.0
AVC191	Kosakonia cowanii	208223	S	19	-18	1	0.0
AVC191	Kosakonia pseudosacchari	1646340	S	16	-15	1	0.0
AVC191	Kosakonia oryzae	497725	S	15	-14	1	0.0
AVC191	Kosakonia sacchari	1158459	S	14	-11	3	0.0
AVC191	Leclercia sp. 29361	2714951	S	27	-24	3	0.0
AVC191	Leclercia adecarboxylata	83655	S	18	-15	3	0.0
AVC191	Raoultella ornithinolytica	54291	S	108	-37	71	3e-05
AVC191	Raoultella planticola	575	S	10	-9	1	0.0
AVC191	Raoultella terrigena	577	S	9	-8	1	0.0
AVC191	Raoultella electrica	1259973	S	4	-3	1	0.0
AVC191	Yokenella regensburgei	158877	S	138	-122	16	1e-05
AVC191	Cronobacter dublinensis	413497	S	15	-14	1	0.0
AVC191	Cronobacter sakazakii	28141	S	13	-11	2	0.0
AVC191	Cronobacter condimenti	1163710	S	11	-11	0	0.0
AVC191	Cronobacter malonaticus	413503	S	6	-4	2	0.0
AVC191	Cronobacter universalis	535744	S	5	-5	0	0.0
AVC191	[Enterobacter] lignolyticus	1334193	S	52	-48	4	0.0
AVC191	Pluralibacter gergoviae	61647	S	24	-23	1	0.0
AVC191	Cedecea neteri	158822	S	36	-34	2	0.0
AVC191	Cedecea sp. FDAARGOS_727	2545798	S	19	-18	1	0.0
AVC191	Cedecea lapagei	158823	S	16	-16	0	0.0
AVC191	Lelliottia amnigena	61646	S	38	-36	2	0.0
AVC191	Lelliottia jeotgali	1907578	S	18	-17	1	0.0
AVC191	Lelliottia nimipressuralis	69220	S	5	-4	1	0.0
AVC191	Lelliottia sp. WB101	2153385	S	4	-3	1	0.0
AVC191	Kluyvera genomosp. 3	2774055	S	32	-30	2	0.0
AVC191	Kluyvera intermedia	61648	S	28	-25	3	0.0
AVC191	Scandinavium goeteborgense	1851514	S	59	-54	5	0.0
AVC191	Buttiauxella sp. 3AFRM03	2479367	S	29	-28	1	0.0
AVC191	Buttiauxella agrestis	82977	S	10	-10	0	0.0
AVC191	Phytobacter ursingii	1972431	S	24	-21	3	0.0
AVC191	Shimwellia blattae	563	S	27	-26	1	0.0
AVC191	Atlantibacter hermannii	565	S	27	-26	1	0.0
AVC191	Pseudescherichia vulneris	566	S	20	-20	0	0.0
AVC191	Candidatus Doolittlea endobia	1778262	S	5	-3	2	0.0
AVC191	Providencia vermicola	333965	S	54	-34	20	1e-05
AVC191	Providencia stuartii	588	S	25	-9	16	1e-05
AVC191	Xenorhabdus bovienii	40576	S	5	-2	3	0.0
AVC191	Pantoea ananatis	553	S	24	-19	5	0.0
AVC191	Pantoea sp. CCBC3-3-1	2490851	S	5	-4	1	0.0
AVC191	Izhakiella sp. KSNA2	2579935	S	35	-20	15	1e-05
AVC191	Erwinia sp. Ejp617	215689	S	6	-4	2	0.0
AVC191	Erwinia pyrifoliae	79967	S	4	-1	3	0.0
AVC191	Candidatus Erwinia haradaeae	1922217	S	4	-3	1	0.0
AVC191	Buchnera aphidicola	9	S	8	-3	5	0.0
AVC191	Yersinia pestis	632	S	19	219	238	0.00011
AVC191	Yersinia enterocolitica	630	S	7	-7	0	0.0
AVC191	Serratia symbiotica	138074	S	6	-6	0	0.0
AVC191	Candidatus Sodalis pierantonius	1486991	S	4	-4	0	0.0
AVC191	Pectobacterium parmentieri	1905730	S	4	-4	0	0.0
AVC191	Edwardsiella ictaluri	67780	S	5	5	10	0.0
AVC191	Aeromonas media	651	S	84	-16	68	3e-05
AVC191	Aeromonas hydrophila	644	S	56	-5	51	2e-05
AVC191	Aeromonas rivipollensis	948519	S	46	27	73	3e-05
AVC191	Aeromonas veronii	654	S	12	-9	3	0.0
AVC191	Aeromonas encheleia	73010	S	6	-1	5	0.0
AVC191	Pseudomonas putida	303	S	67	23	90	4e-05
AVC191	Pseudomonas plecoglossicida	70775	S	4	2	6	0.0
AVC191	Pseudomonas sp. FGI182	1259844	S	9	5	14	1e-05
AVC191	Pseudomonas sp. SK	2729423	S	6	0	6	0.0
AVC191	Pseudomonas sp. 13159349	2662034	S	6	21	27	1e-05
AVC191	Pseudomonas sp. BIGb0427	2724470	S	5	0	5	0.0
AVC191	Pseudomonas sp. TCU-HL1	1856685	S	4	-2	2	0.0
AVC191	Pseudomonas aeruginosa	287	S	11	-2	9	0.0
AVC191	Pseudomonas stutzeri	316	S	4	-1	3	0.0
AVC191	Pseudomonas extremaustralis	359110	S	4	0	4	0.0
AVC191	Acinetobacter baumannii	470	S	40	-23	17	1e-05
AVC191	Acinetobacter sp. MYb10	1827285	S	4	0	4	0.0
AVC191	Vibrio owensii	696485	S	46	-3	43	2e-05
AVC191	Vibrio parahaemolyticus	670	S	4	29	33	1e-05
AVC191	Xanthomonas citri	346	S	7	3	10	0.0
AVC191	Cupriavidus oxalaticus	96344	S	4	-1	3	0.0
AVC191	Staphylococcus aureus	1280	S	73	-17	56	3e-05
AVC191	Staphylococcus cohnii	29382	S	19	0	19	1e-05
AVC191	Staphylococcus haemolyticus	1283	S	11	0	11	0.0
AVC191	Paenibacillus polymyxa	1406	S	64	0	64	3e-05
AVC191	Bacillus anthracis	1392	S	11	1	12	1e-05
AVC191	Bacillus cereus	1396	S	6	-1	5	0.0
AVC191	Bacillus mycoides	1405	S	5	-4	1	0.0
AVC191	Bacillus aryabhattai	412384	S	4	5	9	0.0
AVC191	Streptomyces sp. ICC4	2099584	S	5	5	10	0.0
AVC191	Pseudobacter ginsenosidimutans	661488	S	4	0	4	0.0
FH138	Escherichia coli	562	S	1686266	2643956	4330222	0.9833
FH138	Escherichia albertii	208962	S	3861	-3305	556	0.00013
FH138	Escherichia fergusonii	564	S	3592	-1280	2312	0.00053
FH138	Escherichia marmotae	1499973	S	2437	-2147	290	7e-05
FH138	Escherichia sp. E4742	2044467	S	2012	-1653	359	8e-05
FH138	Escherichia sp. SCLE84	2725997	S	29	523	552	0.00013
FH138	Klebsiella pneumoniae	573	S	18357	413	18770	0.00426
FH138	Klebsiella aerogenes	548	S	441	-376	65	1e-05
FH138	Klebsiella michiganensis	1134687	S	325	-242	83	2e-05
FH138	Klebsiella oxytoca	571	S	191	-165	26	1e-05
FH138	Klebsiella sp. WP4-W18-ESBL-05	2675713	S	7	8	15	0.0
FH138	Klebsiella sp. PO552	1972757	S	6	-4	2	0.0
FH138	Klebsiella sp. BDA134-6	2787706	S	5	-4	1	0.0
FH138	Klebsiella sp. LY	2015795	S	5	0	5	0.0
FH138	Klebsiella huaxiensis	2153354	S	142	-123	19	0.0
FH138	Klebsiella quasipneumoniae	1463165	S	88	-12	76	2e-05
FH138	Klebsiella variicola	244366	S	80	-61	19	0.0
FH138	Klebsiella grimontii	2058152	S	12	-4	8	0.0
FH138	Salmonella enterica	28901	S	6250	17751	24001	0.00545
FH138	Salmonella bongori	54736	S	206	-11	195	4e-05
FH138	Salmonella sp. S13	2686305	S	78	1249	1327	0.0003
FH138	Salmonella sp. SSDFZ54	2500542	S	14	79	93	2e-05
FH138	Salmonella sp. HNK130	2664291	S	4	1245	1249	0.00028
FH138	Salmonella sp. SCFS4	2725417	S	4	54	58	1e-05
FH138	Citrobacter freundii	546	S	835	-587	248	6e-05
FH138	Citrobacter werkmanii	67827	S	131	-100	31	1e-05
FH138	Citrobacter portucalensis	1639133	S	32	-9	23	1e-05
FH138	Citrobacter freundii complex sp. CFNIH2	2066049	S	20	-18	2	0.0
FH138	Citrobacter braakii	57706	S	19	-7	12	0.0
FH138	Citrobacter youngae	133448	S	18	-12	6	0.0
FH138	Citrobacter freundii complex sp. CFNIH9	2077149	S	4	-1	3	0.0
FH138	Citrobacter sp. RHB25-C09	2742624	S	414	-381	33	1e-05
FH138	Citrobacter sp. SNU WT2	2562449	S	218	-202	16	0.0
FH138	Citrobacter sp. TSA-1	184912	S	130	-3	127	3e-05
FH138	Citrobacter sp. LY-1	2546350	S	79	-72	7	0.0
FH138	Citrobacter sp. RHBSTW-00887	2742668	S	21	-3	18	0.0
FH138	Citrobacter sp. BDA59-3	2781952	S	15	-10	5	0.0
FH138	Citrobacter sp. RHBSTW-00881	2742667	S	7	-2	5	0.0
FH138	Citrobacter sp. RHBSTW-00599	2742657	S	7	-2	5	0.0
FH138	Citrobacter sp. RHB35-C17	2742625	S	7	-4	3	0.0
FH138	Citrobacter sp. FDAARGOS_156	1702170	S	6	-5	1	0.0
FH138	Citrobacter sp. RHBSTW-00986	2742675	S	6	-1	5	0.0
FH138	Citrobacter sp. RHBSTW-00524	2742653	S	6	-2	4	0.0
FH138	Citrobacter sp. RHB36-C18	2742627	S	6	-2	4	0.0
FH138	Citrobacter sp. CRE-46	1703250	S	6	-3	3	0.0
FH138	Citrobacter sp. 172116965	2683822	S	5	-1	4	0.0
FH138	Citrobacter sp. CFNIH10	1920110	S	4	-2	2	0.0
FH138	Citrobacter amalonaticus	35703	S	334	-245	89	2e-05
FH138	Citrobacter rodentium	67825	S	199	-184	15	0.0
FH138	Citrobacter koseri	545	S	184	-142	42	1e-05
FH138	Citrobacter farmeri	67824	S	80	-74	6	0.0
FH138	Citrobacter telavivum	2653932	S	53	-48	5	0.0
FH138	Citrobacter pasteurii	1563222	S	14	-11	3	0.0
FH138	Shigella boydii	621	S	1397	3500	4897	0.00111
FH138	Shigella flexneri	623	S	1249	7399	8648	0.00196
FH138	Shigella dysenteriae	622	S	1007	556	1563	0.00035
FH138	Shigella sonnei	624	S	51	3484	3535	0.0008
FH138	Enterobacter cloacae	550	S	431	-210	221	5e-05
FH138	Enterobacter hormaechei	158836	S	269	-138	131	3e-05
FH138	Enterobacter roggenkampii	1812935	S	166	-108	58	1e-05
FH138	Enterobacter asburiae	61645	S	152	-35	117	3e-05
FH138	Enterobacter kobei	208224	S	134	-50	84	2e-05
FH138	Enterobacter cancerogenus	69218	S	74	-70	4	0.0
FH138	Enterobacter cloacae complex sp.	2027919	S	54	-40	14	0.0
FH138	Enterobacter ludwigii	299767	S	51	-38	13	0.0
FH138	Enterobacter chengduensis	2494701	S	23	-20	3	0.0
FH138	Enterobacter sichuanensis	2071710	S	13	-11	2	0.0
FH138	Enterobacter sp. SA187	1914861	S	198	-182	16	0.0
FH138	Enterobacter sp. JUb54	2724468	S	151	-137	14	0.0
FH138	Enterobacter sp. RHBSTW-00994	2742676	S	94	-89	5	0.0
FH138	Enterobacter sp. E76	2596949	S	86	-79	7	0.0
FH138	Enterobacter sp. 638	399742	S	71	-66	5	0.0
FH138	Enterobacter sp. RHBSTW-00175	2742639	S	55	-50	5	0.0
FH138	Enterobacter sp. RHB15-C17	2742619	S	27	-20	7	0.0
FH138	Enterobacter sp. R4-368	1166130	S	17	-9	8	0.0
FH138	Enterobacter sp. 18A13	2565914	S	7	-3	4	0.0
FH138	Enterobacter sp. N18-03635	2500132	S	5	-4	1	0.0
FH138	Enterobacter sp. ODB01	1827481	S	4	-1	3	0.0
FH138	Enterobacter oligotrophicus	2478464	S	64	-61	3	0.0
FH138	Enterobacter soli	885040	S	61	-58	3	0.0
FH138	Enterobacter bugandensis	881260	S	40	-36	4	0.0
FH138	Enterobacter mori	539813	S	4	-3	1	0.0
FH138	Kosakonia arachidis	551989	S	209	-186	23	1e-05
FH138	Kosakonia radicincitans	283686	S	184	-157	27	1e-05
FH138	Kosakonia cowanii	208223	S	140	-123	17	0.0
FH138	Kosakonia sp. SMBL-WEM22	2725560	S	39	-38	1	0.0
FH138	Kosakonia sp. CCTCC M2018092	2492396	S	14	-13	1	0.0
FH138	Kosakonia oryzae	497725	S	53	-49	4	0.0
FH138	Kosakonia sacchari	1158459	S	51	-40	11	0.0
FH138	Kosakonia pseudosacchari	1646340	S	43	-40	3	0.0
FH138	Leclercia sp. 29361	2714951	S	89	-79	10	0.0
FH138	Leclercia sp. J807	2681307	S	15	-13	2	0.0
FH138	Leclercia sp. W17	2282309	S	10	-8	2	0.0
FH138	Leclercia sp. W6	2282310	S	10	-9	1	0.0
FH138	Leclercia sp. 119287	2681308	S	6	-5	1	0.0
FH138	Leclercia adecarboxylata	83655	S	105	-87	18	0.0
FH138	Raoultella ornithinolytica	54291	S	226	-99	127	3e-05
FH138	Raoultella planticola	575	S	37	-33	4	0.0
FH138	Raoultella electrica	1259973	S	13	-11	2	0.0
FH138	Raoultella terrigena	577	S	11	-10	1	0.0
FH138	Cedecea neteri	158822	S	281	-258	23	1e-05
FH138	Cedecea sp. FDAARGOS_727	2545798	S	48	-46	2	0.0
FH138	Cedecea lapagei	158823	S	44	-42	2	0.0
FH138	Lelliottia amnigena	61646	S	205	-187	18	0.0
FH138	Lelliottia jeotgali	1907578	S	68	-64	4	0.0
FH138	Lelliottia sp. WB101	2153385	S	29	-21	8	0.0
FH138	Lelliottia nimipressuralis	69220	S	21	-15	6	0.0
FH138	[Enterobacter] lignolyticus	1334193	S	228	-206	22	0.0
FH138	Pluralibacter gergoviae	61647	S	77	-72	5	0.0
FH138	Cronobacter sakazakii	28141	S	58	-49	9	0.0
FH138	Cronobacter dublinensis	413497	S	49	-44	5	0.0
FH138	Cronobacter condimenti	1163710	S	42	-41	1	0.0
FH138	Cronobacter universalis	535744	S	15	-15	0	0.0
FH138	Cronobacter malonaticus	413503	S	13	-12	1	0.0
FH138	Cronobacter muytjensii	413501	S	9	-8	1	0.0
FH138	Cronobacter sp. JZ38	1906275	S	7	-7	0	0.0
FH138	Kluyvera intermedia	61648	S	200	-185	15	0.0
FH138	Kluyvera genomosp. 3	2774055	S	80	-76	4	0.0
FH138	Buttiauxella agrestis	82977	S	179	-161	18	0.0
FH138	Buttiauxella sp. 3AFRM03	2479367	S	62	-60	2	0.0
FH138	Yokenella regensburgei	158877	S	226	-210	16	0.0
FH138	Phytobacter sp. SCO41	1756993	S	92	37	129	3e-05
FH138	Phytobacter ursingii	1972431	S	73	-66	7	0.0
FH138	Phytobacter diazotrophicus	395631	S	5	-1	4	0.0
